time,status,face_found,lm106,calib,ear,left,right,ear_base,ear_th,mar,mar_base,mar_th,head,head_base,eye,yawn,head_down,feature_ms
1787468680.188,NORMAL,1,1,1,0.3350,0.3190,0.3100,0.4040,0.2630,0.4570,0.4680,0.8420,0.0000,0.4790,0,0,0,0.025
1787468680.670,NORMAL,1,1,1,0.3160,0.3060,0.3060,0.4040,0.2630,0.4470,0.4680,0.8420,0.0000,0.4790,0,0,0,0.019
1787468680.952,NORMAL,1,1,1,0.3160,0.3060,0.3060,0.4040,0.2630,0.4470,0.4680,0.8420,0.0000,0.4790,0,0,0,0.019
1787468681.233,NORMAL,1,1,1,0.3210,0.3250,0.3230,0.4040,0.2630,0.4610,0.4680,0.8420,0.0000,0.4790,0,0,0,0.031
1787468681.515,NORMAL,1,1,1,0.3830,0.5000,0.3330,0.4040,0.2630,0.5010,0.4680,0.8420,0.0220,0.4790,0,0,0,0.021
1787468681.791,NORMAL,1,1,1,0.3350,0.3150,0.3040,0.4040,0.2630,0.4700,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468682.080,NORMAL,1,1,1,0.3640,0.3430,0.4150,0.4040,0.2630,0.4690,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468682.359,NORMAL,1,1,1,0.3430,0.3260,0.3370,0.4040,0.2630,0.4820,0.4680,0.8420,0.0000,0.4790,0,0,0,0.067
1787468682.646,NORMAL,1,1,1,0.3380,0.3300,0.3400,0.4040,0.2630,0.4640,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468682.918,NORMAL,1,1,1,0.3440,0.3520,0.3420,0.4040,0.2630,0.4580,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468683.192,NORMAL,1,1,1,0.3360,0.3330,0.3300,0.4040,0.2630,0.4420,0.4680,0.8420,0.0000,0.4790,0,0,0,0.026
1787468683.460,NORMAL,1,1,1,0.3390,0.3510,0.3300,0.4040,0.2630,0.4470,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468683.762,NORMAL,1,1,1,0.3390,0.3510,0.3300,0.4040,0.2630,0.4470,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468684.053,NORMAL,1,1,1,0.3590,0.3420,0.3510,0.4040,0.2630,0.4540,0.4680,0.8420,0.0000,0.4790,0,0,0,0.029
1787468684.325,NORMAL,1,1,1,0.3900,0.4560,0.3570,0.4040,0.2630,0.4470,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468684.612,NORMAL,1,1,1,0.3510,0.3260,0.3330,0.4040,0.2630,0.4480,0.4680,0.8420,0.0000,0.4790,0,0,0,0.026
1787468684.898,NORMAL,1,1,1,0.3890,0.5330,0.2850,0.4040,0.2630,0.5300,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468685.175,NORMAL,1,1,1,0.3350,0.2960,0.3170,0.4040,0.2630,0.4520,0.4680,0.8420,0.0000,0.4790,0,0,0,0.029
1787468685.462,NORMAL,1,1,1,0.3320,0.3160,0.3430,0.4040,0.2630,0.4210,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468685.745,NORMAL,1,1,1,0.3170,0.3000,0.3170,0.4040,0.2630,0.4340,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468686.034,NORMAL,1,1,1,0.3070,0.2970,0.3080,0.4040,0.2630,0.4440,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468686.318,NORMAL,1,1,1,0.3070,0.2970,0.3080,0.4040,0.2630,0.4440,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468686.590,NORMAL,1,1,1,0.3140,0.3060,0.3300,0.4040,0.2630,0.4290,0.4680,0.8420,0.0000,0.4790,0,0,0,0.025
